LOCALIDAD;CATEGORIA;ANO;MES;NUMERO_COMPARENDOS
ANTONIO NARINO;G;2015;ENERO;1
ANTONIO NARINO;G;2015;JULIO;2
ANTONIO NARINO;G;2015;MAYO;2
ANTONIO NARINO;G;2016;ABRIL;10
ANTONIO NARINO;G;2016;AGOSTO;7
ANTONIO NARINO;G;2016;DICIEMBRE;8
ANTONIO NARINO;G;2016;FEBRERO;8
ANTONIO NARINO;G;2016;JULIO;5
ANTONIO NARINO;G;2016;JUNIO;4
ANTONIO NARINO;G;2016;MARZO;1
ANTONIO NARINO;G;2016;NOVIEMBRE;18
ANTONIO NARINO;G;2016;OCTUBRE;32
ANTONIO NARINO;G;2016;SEPTIEMBRE;8
ANTONIO NARINO;G;2017;ABRIL;12
ANTONIO NARINO;G;2017;AGOSTO;176
ANTONIO NARINO;G;2017;ENERO;12
ANTONIO NARINO;G;2017;FEBRERO;41
ANTONIO NARINO;G;2017;JULIO;83
ANTONIO NARINO;G;2017;JUNIO;43
ANTONIO NARINO;G;2017;MARZO;64
ANTONIO NARINO;G;2017;MAYO;39
ANTONIO NARINO;G;2017;OCTUBRE;1
ANTONIO NARINO;G;2017;SEPTIEMBRE;102
ANTONIO NARINO;H;2015;ABRIL;4
ANTONIO NARINO;H;2015;AGOSTO;18
ANTONIO NARINO;H;2015;DICIEMBRE;9
ANTONIO NARINO;H;2015;ENERO;7
ANTONIO NARINO;H;2015;FEBRERO;10
ANTONIO NARINO;H;2015;JULIO;22
ANTONIO NARINO;H;2015;JUNIO;7
ANTONIO NARINO;H;2015;MARZO;3
ANTONIO NARINO;H;2015;MAYO;16
ANTONIO NARINO;H;2015;NOVIEMBRE;5
ANTONIO NARINO;H;2015;OCTUBRE;1
ANTONIO NARINO;H;2015;SEPTIEMBRE;4
ANTONIO NARINO;H;2016;ABRIL;12
ANTONIO NARINO;H;2016;AGOSTO;147
ANTONIO NARINO;H;2016;DICIEMBRE;85
ANTONIO NARINO;H;2016;ENERO;6
ANTONIO NARINO;H;2016;FEBRERO;21
ANTONIO NARINO;H;2016;JULIO;34
ANTONIO NARINO;H;2016;JUNIO;13
ANTONIO NARINO;H;2016;MARZO;27
ANTONIO NARINO;H;2016;MAYO;5
ANTONIO NARINO;H;2016;NOVIEMBRE;78
ANTONIO NARINO;H;2016;OCTUBRE;85
